,x,y,z
1106,133572.7614,1415599.2480499998,96.7887
1107,133571.5475,1415599.54695,96.8009
1108,133571.2486,1415599.62015,96.8009
1109,133570.9497,1415599.6903,96.7948
1110,133570.34885,1415599.83365,96.77345000000001
1111,133568.833,1415600.2088,96.807
1112,133568.53105,1415600.28505,96.8192
1113,133567.9363,1415600.4283999999,96.77345000000001
1114,133567.63434999998,1415600.5016,96.7765
1115,133567.03045,1415600.648,96.746
1116,133567.4971,1415600.0868,96.746
1117,133568.70184999998,1415599.794,96.77955
1118,133569.6016,1415599.5744,96.82225
1119,133569.90965,1415599.4981499999,96.79175000000001
1120,133570.20854999998,1415599.42495,96.807
1121,133570.8033,1415599.2785500002,96.81005
1122,133571.41025,1415599.12605,96.8009
1123,133572.3039,1415598.91255,96.87105
1124,133572.615,1415598.8302,96.7887
1125,133574.1217,1415598.4581,96.80395
1126,133574.4145,1415598.3879500001,96.85884999999999
1127,133574.70425,1415598.3239000002,96.91985
1128,133575.0062,1415598.25375,96.93205
1129,133575.31425,1415598.1775,96.92290000000001
1130,133575.92425,1415598.0189,96.86800000000001
1131,133576.2323,1415597.9396,96.83445
1132,133576.5373,1415597.8664000002,96.82225
1133,133576.82705,1415597.79625,96.9046
1134,133577.44315,1415597.64375,96.8314
1135,133577.73595,1415597.57665,96.9046
1136,133580.4657,1415596.9026000001,96.9046
1137,133581.6918,1415596.60065,96.87105
1138,133581.98765,1415596.5305,96.9168
1139,133582.59764999998,1415596.378,96.88325
1140,133582.90265,1415596.30175,96.88019999999999
1141,133583.2046,1415596.22855,96.8863
